City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
253,fedorovka,53.6314,62.7078,289.04,59,75,8.27,KZ,1712912474
254,sakakah,29.9697,40.2064,298.91,23,0,0.71,SA,1712912476
255,hobyo,5.3505,48.5268,304.81,63,9,6.04,SO,1712912477
256,aweil,8.7682,27.4002,311.08,7,86,4.02,SS,1712912478
257,victorica,-36.2151,-65.4359,281.43,89,100,4.96,AR,1712912480
258,tolanaro,-25.0319,46.9987,297.19,83,75,3.09,MG,1712912481
259,na klang,17.3072,102.1889,312.84,23,27,1.7,TH,1712912482
260,severo-yeniseyskiy,60.3725,93.0408,265.14,65,100,2.24,RU,1712912483
261,gereida,11.2811,25.1414,309.78,6,64,7.56,SD,1712912485
262,askoy,60.4092,5.226,282.45,100,75,6.17,NO,1712912486
263,watertown,42.3709,-71.1828,290.64,90,100,5.81,US,1712912487
264,hirara,24.8,125.2833,299.3,83,75,7.2,JP,1712912488
265,kangding,30.0513,101.9603,286.62,73,100,1.49,CN,1712912489
266,aykhal,66.0,111.5,258.26,71,100,3.88,RU,1712912492
267,ciudad lazaro cardenas,17.9583,-102.2,296.51,76,76,0.78,MX,1712912493
268,luderitz,-26.6481,15.1594,301.68,38,2,2.87,NA,1712912494
269,chibougamau,49.9168,-74.3659,276.94,100,100,4.63,CA,1712912495
270,olyokminsk,60.3736,120.4264,269.73,60,100,2.67,RU,1712912497
271,san antonio de pale,-1.4014,5.6325,301.47,76,100,1.8,GQ,1712912498
272,sinop,41.7711,34.8709,289.02,67,85,3.61,TR,1712912499
273,ta`u,-14.2336,-169.5144,302.64,78,45,5.76,AS,1712912500
274,dapa,9.7594,126.0531,301.13,74,28,3.78,PH,1712912501
275,port moresby,-9.4431,147.1797,300.83,78,75,5.14,PG,1712912422
276,ancud,-41.8697,-73.8203,280.9,76,0,2.69,CL,1712912504
277,planaltina,-15.4528,-47.6142,292.04,94,26,1.63,BR,1712912505
278,bhimunipatnam,17.8833,83.4333,306.88,48,78,5.43,IN,1712912506
279,colonia,50.9333,6.95,290.35,78,100,3.09,DE,1712912507
280,arvayheer,46.2639,102.775,285.88,18,46,8.86,MN,1712912508
281,patterson,37.4716,-121.1297,290.33,88,0,0.41,US,1712912510
282,toba,34.4833,136.85,290.15,72,100,3.74,JP,1712912511
283,al wakrah,24.85,51.3333,305.57,18,93,7.85,QA,1712912512
284,reyes,-14.3167,-67.3833,296.28,100,100,1.57,BO,1712912513
285,inhambane,-23.865,35.3833,298.15,65,40,4.12,MZ,1712912514
286,tantoyuca,21.35,-98.2333,289.88,90,100,1.14,MX,1712912516
287,tazovsky,67.4667,78.7,261.66,91,100,12.65,RU,1712912517
288,laguna,38.421,-121.4238,290.62,71,0,3.6,US,1712912518
289,ghat,24.9647,10.1728,294.8,31,0,6.65,LY,1712912520
290,altai,46.3722,96.2583,280.99,39,88,9.55,MN,1712912521
291,newman,37.3138,-121.0208,291.07,83,0,0.89,US,1712912522
292,keflavik,64.0049,-22.5624,275.1,86,75,8.75,IS,1712912524
293,terbanggi besar,-4.8667,105.2333,303.3,72,89,3.78,ID,1712912525
294,san clemente,33.427,-117.612,288.4,94,7,1.34,US,1712912527
295,jungapeo de juarez,19.45,-100.4833,290.27,48,72,2.71,MX,1712912528
296,nouadhibou,20.931,-17.0347,293.14,88,0,4.63,MR,1712912529
297,suva,-18.1416,178.4415,298.86,83,40,1.03,FJ,1712912531
298,mizdah,31.4451,12.9801,292.37,42,100,10.68,LY,1712912534
299,chonchi,-42.6128,-73.8092,278.22,80,0,1.02,CL,1712912535
300,mount isa,-20.7333,139.5,298.02,25,0,3.09,AU,1712912536
301,cockburn town,21.4612,-71.1419,298.29,80,14,8.75,TC,1712912538
302,yeniseysk,58.4497,92.1703,267.01,72,100,3.58,RU,1712912539
303,swakopmund,-22.6833,14.5333,288.62,78,2,2.8,NA,1712912541
304,kaohsiung,22.6163,120.3133,302.12,76,20,4.12,TW,1712912275
305,bengkulu,-3.8004,102.2655,301.96,78,93,2.25,ID,1712912543
306,terrace,54.5163,-128.6035,278.1,93,100,2.06,CA,1712912544
307,mata-utu,-13.2816,-176.1745,302.27,80,36,5.87,WF,1712912546
308,dhandhuka,22.3667,71.9833,311.39,20,4,4.7,IN,1712912547
309,nkoteng,4.5167,12.0333,297.46,87,99,2.04,CM,1712912548
310,vyritsa,59.4078,30.3481,281.24,62,78,6.12,RU,1712912549
311,fuglafjordur,62.244,-6.814,281.41,88,90,10.29,FO,1712912550
312,mahebourg,-20.4081,57.7,305.51,74,75,6.17,MU,1712912553
313,avarua,-21.2078,-159.775,300.18,94,75,6.17,CK,1712912554
314,hammerfest,70.6634,23.6821,274.4,86,40,1.03,NO,1712912555
315,becerril,9.7041,-73.2793,299.45,61,100,1.99,CO,1712912557
316,kotlas,61.2611,46.6556,279.85,72,100,5.81,RU,1712912558
317,bikenibeu village,1.3673,173.1241,302.13,84,20,2.06,KI,1712912559
318,linxia chengguanzhen,35.6003,103.2064,294.63,15,37,0.95,CN,1712912560
319,kapuskasing,49.4169,-82.4331,280.2,76,100,3.09,CA,1712912562
320,lethbridge,49.7,-112.8186,279.42,70,0,4.12,CA,1712912563
321,santander,43.4647,-3.8044,292.37,72,0,1.34,ES,1712912564
322,fort st. john,56.2499,-120.8529,275.09,87,75,1.54,CA,1712912341
323,pangody,65.85,74.4859,266.67,91,100,12.4,RU,1712912566
324,nova petropolis,-29.3764,-51.1144,291.29,97,100,0.57,BR,1712912568
325,balsas,-7.5325,-46.0356,295.85,97,63,0.67,BR,1712912569
326,vrangel',42.7297,133.0839,280.97,88,62,3.95,RU,1712912570
327,capitao poco,-1.7464,-47.0594,296.85,96,100,1.14,BR,1712912571
328,rosario do sul,-30.2583,-54.9142,291.02,80,100,6.2,BR,1712912573
329,nahiyat ash shinafiyah,31.5874,44.6602,301.81,20,0,4.55,IQ,1712912574
330,al faw,29.9776,48.4741,303.15,28,0,6.15,IQ,1712912575
331,cedeira,43.6797,-8.0209,294.81,77,3,0.95,ES,1712912576
332,harstad,68.799,16.5293,277.81,84,68,12.96,NO,1712912577
333,thulamahashi,-24.7246,31.1994,294.39,50,88,2.15,ZA,1712912579
334,huarmey,-10.0681,-78.1522,295.44,83,99,3.85,PE,1712912580
335,zheshart,62.0731,49.5733,277.72,85,100,5.66,RU,1712912581
336,kheralu,23.8833,72.6167,311.98,17,0,4.54,IN,1712912583
337,hamilton,39.1834,-84.5333,284.23,88,100,6.26,US,1712912584
338,zhangatas,43.5667,69.75,288.91,53,100,9.42,KZ,1712912585
339,ukiah,39.1502,-123.2078,286.29,74,0,0.0,US,1712912587
340,aban,56.67,96.06,272.15,44,100,4.36,RU,1712912588
341,puerto san jose,13.9256,-90.8244,300.81,76,98,1.6,GT,1712912589
342,knysna,-34.0363,23.0471,291.89,47,3,1.94,ZA,1712912591
343,mahajanga,-15.7167,46.3167,310.16,47,20,1.54,MG,1712912592
344,egilsstadir,65.2653,-14.3948,275.1,75,75,2.57,IS,1712912593
345,shahritus,37.2637,68.1385,290.19,84,100,1.87,TJ,1712912594
346,malard,35.6659,50.9767,289.84,41,40,5.14,IR,1712912595
347,nova vicosa,-17.8919,-39.3719,298.21,84,37,1.32,BR,1712912597
348,penco,-36.7333,-72.9833,280.62,93,0,1.03,CL,1712912598
349,carmen,18.6333,-91.8333,296.93,64,21,4.37,MX,1712912600
350,saint-pierre,-21.3393,55.4781,303.97,66,20,3.6,RE,1712912602
351,isna,25.2934,32.554,301.16,17,6,5.41,EG,1712912603
352,racine,42.7495,-88.0751,282.89,90,100,4.63,US,1712912604
353,alaghsas,17.0187,8.0168,307.09,7,100,6.17,NE,1712912605
354,vanimo,-2.6741,141.3028,300.42,88,100,3.59,PG,1712912606
355,linping,30.4225,120.2972,295.33,82,70,3.04,CN,1712912608
356,aktau,43.65,51.2,291.47,40,7,3.48,KZ,1712912609
357,suntar,62.1444,117.6319,264.07,76,100,2.25,RU,1712912610
358,tarawa,1.419,172.984,302.2,84,20,2.06,KI,1712912611
359,lata,40.1629,-8.3327,295.41,51,5,1.52,PT,1712912613
360,raahe,64.6833,24.4833,277.2,92,76,2.19,FI,1712912614
361,plymouth,41.8334,-70.8328,290.05,95,100,7.2,US,1712912615
362,gaspe,48.8334,-64.4819,277.27,87,100,2.57,CA,1712912617
363,grand falls-windsor,48.9332,-55.6649,273.99,75,68,0.89,CA,1712912618
